answer,document,answer_pro_good_cnt,answer_pro_bad_cnt,doc_view,doc_company_id,doc_job_small_id
a000000,d000000,0,0,3281,2000001,6000001
a000001,d000000,0,0,3281,2000001,6000001
a000002,d000000,0,0,3281,2000001,6000001
a000003,d000001,0,0,2691,2000002,6000002
a000004,d000001,0,0,2691,2000002,6000002
a000005,d000001,0,0,2691,2000002,6000002
a000006,d000001,0,0,2691,2000002,6000002
a000007,d000001,0,0,2691,2000002,6000002
a000008,d000002,0,0,8673,2000003,6000003
a000009,d000002,0,0,8673,2000003,6000003
a000010,d000002,0,0,8673,2000003,6000003
a000011,d000003,0,0,7626,2000004,6000004
a000012,d000003,0,0,7626,2000004,6000004
a000013,d000003,0,0,7626,2000004,6000004
a000014,d000003,0,0,7626,2000004,6000004
a000015,d000004,1,1,8086,2000005,6000005
a000016,d000004,1,1,8086,2000005,6000005
a000017,d000004,1,1,8086,2000005,6000005
a000018,d000004,1,1,8086,2000005,6000005
a000019,d000005,0,0,12169,2000006,6000006
a000020,d000005,0,0,12169,2000006,6000006
a000021,d000005,0,0,12169,2000006,6000006
a000022,d000005,0,0,12169,2000006,6000006
a000023,d000006,0,0,4180,2000007,6000007
a000024,d000006,0,0,4180,2000007,6000007
a000025,d000006,0,0,4180,2000007,6000007
a000026,d000007,0,0,18342,2000008,6000005
a000027,d000007,0,0,18342,2000008,6000005
a000028,d000007,0,0,18342,2000008,6000005
a000029,d000008,0,0,5405,2000009,6000008
a000030,d000008,0,0,5405,2000009,6000008
a000031,d000008,0,0,5405,2000009,6000008
a000032,d000008,0,0,5405,2000009,6000008
a000033,d000008,0,0,5405,2000009,6000008
a000034,d000009,0,1,10435,2000010,6000009
a000035,d000009,0,1,10435,2000010,6000009
a000036,d000009,0,1,10435,2000010,6000009
a000037,d000010,0,0,6766,2000011,6000010
a000038,d000010,0,0,6766,2000011,6000010
a000039,d000010,0,0,6766,2000011,6000010
a000040,d000010,0,0,6766,2000011,6000010
a000041,d000010,0,0,6766,2000011,6000010
a000042,d000011,0,0,21892,2000012,6000011
a000043,d000011,0,0,21892,2000012,6000011
a000044,d000011,0,0,21892,2000012,6000011
a000045,d000011,0,0,21892,2000012,6000011
a000046,d000011,0,0,21892,2000012,6000011
a000047,d000012,0,0,2112,2000013,6000012
a000048,d000012,0,0,2112,2000013,6000012
a000049,d000012,0,0,2112,2000013,6000012
a000050,d000012,0,0,2112,2000013,6000012
a000051,d000012,0,0,2112,2000013,6000012
a000052,d000013,0,0,2860,2000014,6000009
a000053,d000013,0,0,2860,2000014,6000009
a000054,d000014,0,0,1904,2000013,6000009
a000055,d000014,0,0,1904,2000013,6000009
a000056,d000014,0,0,1904,2000013,6000009
a000057,d000014,0,0,1904,2000013,6000009
a000058,d000014,0,0,1904,2000013,6000009
a000059,d000015,0,2,17396,2000015,6000013
a000060,d000015,0,2,17396,2000015,6000013
a000061,d000015,0,2,17396,2000015,6000013
a000062,d000015,0,2,17396,2000015,6000013
a000063,d000016,1,1,27360,2000016,6000014
a000064,d000016,1,1,27360,2000016,6000014
a000065,d000016,1,1,27360,2000016,6000014
a000066,d000016,1,1,27360,2000016,6000014
a000067,d000017,0,2,12645,2000017,6000015
a000068,d000017,0,2,12645,2000017,6000015
a000069,d000017,0,2,12645,2000017,6000015
a000070,d000017,0,2,12645,2000017,6000015
a000071,d000018,0,3,31482,2000018,6000001
a000072,d000018,0,3,31482,2000018,6000001
a000073,d000019,0,3,9556,2000019,6000012
a000074,d000019,0,3,9556,2000019,6000012
a000075,d000019,0,3,9556,2000019,6000012
a000076,d000019,0,3,9556,2000019,6000012
a000077,d000020,0,0,7723,2000020,6000002
a000078,d000020,0,0,7723,2000020,6000002
a000079,d000020,0,0,7723,2000020,6000002
a000080,d000020,0,0,7723,2000020,6000002
a000081,d000021,0,0,10288,2000021,6000004
a000082,d000021,0,0,10288,2000021,6000004
a000083,d000021,0,0,10288,2000021,6000004
a000084,d000021,0,0,10288,2000021,6000004
a000085,d000021,0,0,10288,2000021,6000004
a000086,d000022,1,1,108857,2000022,6000002
a000087,d000022,1,1,108857,2000022,6000002
a000088,d000022,1,1,108857,2000022,6000002
a000089,d000023,0,0,7697,2000023,6000012
a000090,d000023,0,0,7697,2000023,6000012
a000091,d000023,0,0,7697,2000023,6000012
a000092,d000024,1,1,19185,2000024,6000004
a000093,d000024,1,1,19185,2000024,6000004
a000094,d000024,1,1,19185,2000024,6000004
a000095,d000024,1,1,19185,2000024,6000004
a000096,d000024,1,1,19185,2000024,6000004
a000097,d000025,0,0,2250,2000025,6000008
a000098,d000025,0,0,2250,2000025,6000008
a000099,d000026,1,1,22101,2000026,6000001
a000100,d000026,1,1,22101,2000026,6000001
a000101,d000026,1,1,22101,2000026,6000001
a000102,d000027,2,1,9935,2000027,6000016
a000103,d000027,2,1,9935,2000027,6000016
a000104,d000027,2,1,9935,2000027,6000016
a000105,d000027,2,1,9935,2000027,6000016
a000106,d000027,2,1,9935,2000027,6000016
a000107,d000027,2,1,9935,2000027,6000016
a000108,d000028,1,1,14553,2000028,6000017
a000109,d000028,1,1,14553,2000028,6000017
a000110,d000028,1,1,14553,2000028,6000017
a000111,d000028,1,1,14553,2000028,6000017
a000112,d000028,1,1,14553,2000028,6000017
a000113,d000029,0,0,4898,2000002,6000002
a000114,d000029,0,0,4898,2000002,6000002
a000115,d000029,0,0,4898,2000002,6000002
a000116,d000029,0,0,4898,2000002,6000002
a000117,d000029,0,0,4898,2000002,6000002
a000118,d000030,0,0,9901,2000029,6000014
a000119,d000030,0,0,9901,2000029,6000014
a000120,d000030,0,0,9901,2000029,6000014
a000121,d000031,0,0,11541,2000030,6000018
a000122,d000031,0,0,11541,2000030,6000018
a000123,d000032,0,1,31106,2000031,6000001
a000124,d000032,0,1,31106,2000031,6000001
a000125,d000032,0,1,31106,2000031,6000001
a000126,d000032,0,1,31106,2000031,6000001
a000127,d000033,0,2,7608,2000032,6000019
a000128,d000033,0,2,7608,2000032,6000019
a000129,d000033,0,2,7608,2000032,6000019
a000130,d000033,0,2,7608,2000032,6000019
a000131,d000033,0,2,7608,2000032,6000019
a000132,d000033,0,2,7608,2000032,6000019
a000133,d000033,0,2,7608,2000032,6000019
a000134,d000033,0,2,7608,2000032,6000019
a000135,d000033,0,2,7608,2000032,6000019
a000136,d000033,0,2,7608,2000032,6000019
a000137,d000033,0,2,7608,2000032,6000019
a000138,d000033,0,2,7608,2000032,6000019
a000139,d000033,0,2,7608,2000032,6000019
a000140,d000033,0,2,7608,2000032,6000019
a000141,d000033,0,2,7608,2000032,6000019
a000142,d000034,2,0,19261,2000007,6000020
a000143,d000034,2,0,19261,2000007,6000020
a000144,d000034,2,0,19261,2000007,6000020
a000145,d000035,0,2,17384,2000033,6000021
a000146,d000035,0,2,17384,2000033,6000021
a000147,d000036,0,3,10611,2000034,6000022
a000148,d000036,0,3,10611,2000034,6000022
a000149,d000036,0,3,10611,2000034,6000022
a000150,d000037,0,1,9558,2000035,6000023
a000151,d000037,0,1,9558,2000035,6000023
a000152,d000037,0,1,9558,2000035,6000023
a000153,d000037,0,1,9558,2000035,6000023
a000154,d000037,0,1,9558,2000035,6000023
a000155,d000038,0,2,11087,2000036,6000024
a000156,d000038,0,2,11087,2000036,6000024
a000157,d000038,0,2,11087,2000036,6000024
a000158,d000039,0,1,15666,2000037,6000025
a000159,d000039,0,1,15666,2000037,6000025
a000160,d000039,0,1,15666,2000037,6000025
a000161,d000040,0,0,6772,2000008,6000007
a000162,d000040,0,0,6772,2000008,6000007
a000163,d000040,0,0,6772,2000008,6000007
a000164,d000041,0,1,25751,2000038,6000026
a000165,d000041,0,1,25751,2000038,6000026
a000166,d000042,1,0,44355,2000039,6000024
a000167,d000042,1,0,44355,2000039,6000024
a000168,d000042,1,0,44355,2000039,6000024
a000169,d000043,0,0,8605,2000040,6000005
a000170,d000043,0,0,8605,2000040,6000005
a000171,d000043,0,0,8605,2000040,6000005
a000172,d000043,0,0,8605,2000040,6000005
a000173,d000043,0,0,8605,2000040,6000005
a000174,d000044,0,0,4649,2000041,6000004
a000175,d000044,0,0,4649,2000041,6000004
a000176,d000044,0,0,4649,2000041,6000004
a000177,d000045,0,0,2676,2000013,6000027
a000178,d000045,0,0,2676,2000013,6000027
a000179,d000045,0,0,2676,2000013,6000027
a000180,d000045,0,0,2676,2000013,6000027
a000181,d000045,0,0,2676,2000013,6000027
a000182,d000046,0,4,21365,2000042,6000024
a000183,d000046,0,4,21365,2000042,6000024
a000184,d000046,0,4,21365,2000042,6000024
