doc_id,major_large,major_small,company,season,job_large,job_small,school,extra_spec,pro_rating,doc_url
0,자연/공학/의약계열,자연/공학/의약계열(기타),LG디스플레이,2016년 상반기,생산·제조,생산관리·공정관리·품질관리,수도권4년,"['학점 3.8/4.5', '토익 895', '토스 Level6', '오픽 M1', '인턴 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/147144
1,자연/공학/의약계열,IT/컴퓨터공학,롯데IT테크(주),2015년 하반기,IT·인터넷,응용프로그래머,수도권4년,"['학점 3.5/4.5', '토익 780', '토스 Level4']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/144625
2,인문/사회계열,인문계열(기타),홈플러스(주),2022년 하반기,영업·고객상담,판매·서빙·매장관리,대졸4년,"['학점 4.5/4.5', '제2외국어 3개', '자격증 4개', '해외경험 1회', '인턴 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/239999
3,인문/사회계열,경영학,㈜노루페인트,2015년 상반기,마케팅·광고·홍보,마케팅·광고·분석,지방4년,"['학점 3.7/4.5', '토익 825', '자격증 1개', '인턴 1회', '수상 1회', '자원봉사 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/143892
4,자연/공학/의약계열,IT/컴퓨터공학,㈜KB데이타시스템,2016년 상반기,IT·인터넷,시스템프로그래머,서울4년,"['학점 3.6/4.5', '토익 805', '토스 Level5', '자격증 1개']",3.0,https://www.jobkorea.co.kr/starter/PassAssay/View/145223
5,자연/공학/의약계열,IT/컴퓨터공학,신한투자증권,2015년 상반기,IT·인터넷,ERP·시스템분석·설계,서울4년,"['학점 3.7/4.5', '토익 850', '토스 Level6', '자격증 1개', '인턴 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/146037
6,인문/사회계열,경영학,현대글로비스(주),2021년 하반기,경영·사무,재무·세무·IR,서울4년,"['학점 3.5/4.5', '토스 Level6', '자격증 14개', '해외경험 1회', '수상 11회', '교내활동 2회', '사회활동 5회', '자원봉사 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/239470
7,인문/사회계열,인문계열(기타),삼성전자(주),2019년 상반기,IT·인터넷,시스템프로그래머,서울4년,"['학점 3.5/4.5', '토익 910', '인턴 1회', '수상 2회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/237723
8,자연/공학/의약계열,화학공학/생명공학,금호타이어(주),2015년 상반기,연구개발·설계,자동차·조선·기계,수도권4년,"['학점 3.4/4.5', '토익 885', '자격증 1개', '인턴 1회', '자원봉사 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/143733
9,인문/사회계열,경제학,(주)LG화학,2018년 하반기,영업·고객상담,제품·서비스영업,서울4년,"['학점 4.22/4.5', '토익 950', '오픽 IH', '제2외국어 3개', '자격증 2개', '해외경험 2회', '수상 1회', '동아리 1회', '교내활동 1회', '자원봉사 1회']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/197761
10,기타,기타,(주)이랜드건설,2016년 상반기,건설,건축·설계·인테리어,고졸,"['자격증 2개', '수상 2회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/146440
11,자연/공학/의약계열,기계/항공,에스엘(주),2015년 하반기,연구개발·설계,기계설계·CAD·CAM,지방4년,"['학점 4.1/4.5', '토익 815', '토스 Level5', '자격증 1개', '수상 3회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/145030
12,인문/사회계열,경영학,GS리테일,2016년 상반기,영업·고객상담,영업관리·지원·영업기획,지방4년,"['학점 3.8/4.5', '토익 730', '자격증 3개', '인턴 1회', '수상 1회', '자원봉사 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/145836
13,자연/공학/의약계열,식품영양학,CJ제일제당(주),2015년 상반기,영업·고객상담,제품·서비스영업,지방4년,"['학점 3.7/4.5', '토익 845', '토스 Level6', '자격증 1개']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/145314
14,인문/사회계열,경영학,GS리테일,2015년 상반기,영업·고객상담,제품·서비스영업,수도권4년,"['학점 3.8/4.5', '토익 845', '오픽 IM2', '자격증 2개', '수상 2회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/145359
15,인문/사회계열,경제학,한국주택금융공사,2017년 하반기,경영·사무,사무·총무·법무,서울4년,"['학점 3.3/4.5', '토익 815']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/195467
16,인문/사회계열,세무/회계,동아쏘시오홀딩스㈜,2019년 하반기,경영·사무,경리·회계·결산,서울4년,"['학점 3.38/4.5', '토익 910', '오픽 IH', '자격증 2개', '동아리 1회', '교내활동 1회']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/200063
17,자연/공학/의약계열,전자전기공학,㈜KT,2017년 하반기,IT·인터넷,네트워크·서버·보안,서울4년,"['학점 3.43/4.5', '토익 810', '토스 Level6', '자격증 3개']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/193319
18,자연/공학/의약계열,화학공학/생명공학,GS칼텍스(주),2021년 상반기,생산·제조,생산관리·공정관리·품질관리,서울4년,"['학점 3.87/4.5', '토익 860', '오픽 IH', '자격증 2개', '수상 2회', '동아리 1회', '교내활동 1회']",4.0,https://www.jobkorea.co.kr/starter/PassAssay/View/236901
19,자연/공학/의약계열,기계/항공,(주)경동나비엔,2021년 상반기,영업·고객상담,영업관리·지원·영업기획,지방4년,"['학점 3.56/4.5', '토익 845', '토스 Level6', '제2외국어 1개', '해외경험 1회', '동아리 2회']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/237354
20,자연/공학/의약계열,IT/컴퓨터공학,㈜신한DS,2016년 하반기,IT·인터넷,응용프로그래머,대졸4년,"['학점 3.74/4.5', '토익 850', '토스 Level6', '자격증 1개', '인턴 2회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/167555
21,인문/사회계열,경영학,신한카드(주),2021년 하반기,마케팅·광고·홍보,마케팅·광고·분석,대학원,"['학점 2.71/4.5', '토익 715', '오픽 IM2', '자격증 2개', '해외경험 1회', '인턴 2회', '수상 3회', '동아리 1회', '교내활동 1회', '사회활동 10회', '자원봉사 2회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/237640
22,자연/공학/의약계열,IT/컴퓨터공학,라인플러스(주),2017년 하반기,IT·인터넷,응용프로그래머,서울4년,"['학점 3.56/4.5', '토익 805', '인턴 1회']",4.0,https://www.jobkorea.co.kr/starter/PassAssay/View/192628
23,인문/사회계열,경영학,삼성생명보험㈜,2016년 하반기,영업·고객상담,영업관리·지원·영업기획,서울4년,"['학점 3.82/4.5', '토익 885', '토스 Level6', '자격증 2개', '자원봉사 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/167918
24,인문/사회계열,경영학,하나카드(주),2017년 하반기,마케팅·광고·홍보,마케팅·광고·분석,서울4년,"['학점 3.7/4.5', '토익 935', '토스 Level6']",3.0,https://www.jobkorea.co.kr/starter/PassAssay/View/193824
25,기타,기타,현대모비스(주),2015년 상반기,연구개발·설계,자동차·조선·기계,서울4년,"['학점 4.1/4.5', '토익 885', '토스 Level7', '자격증 1개', '해외경험 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/145416
26,자연/공학/의약계열,전자전기공학,(주)한국인삼공사,2017년 하반기,생산·제조,생산관리·공정관리·품질관리,수도권4년,['학점 3.3/4.5'],2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/193109
27,인문/사회계열,영어/영문,신한은행,2019년 하반기,영업·고객상담,금융·보험영업,서울4년,"['학점 3.92/4.5', '토익 980', '토스 Level7', '제2외국어 1개', '자격증 1개', '해외경험 1회']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/200465
28,인문/사회계열,경영학,(주)한진,2016년 하반기,경영·사무,기획·전략·경영,서울4년,"['학점 3.69/4.5', '토익 900']",3.0,https://www.jobkorea.co.kr/starter/PassAssay/View/188519
29,자연/공학/의약계열,IT/컴퓨터공학,롯데IT테크(주),2016년 상반기,IT·인터넷,응용프로그래머,서울4년,"['학점 3.9/4.5', '토익 940', '자격증 1개']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/145588
30,인문/사회계열,경영학,㈜LX하우시스,2016년 하반기,경영·사무,경리·회계·결산,수도권4년,"['학점 3.9/4.5', '토익 990', '오픽 AL', '인턴 1회', '자원봉사 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/147092
31,자연/공학/의약계열,전자전기공학,(주)LG생활건강,2015년 상반기,연구개발·설계,화학·에너지·환경,서울4년,"['학점 2.8/4.5', '토익 780', '인턴 1회', '자원봉사 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/145409
