sample_category,question,answer,summary
[6],[지원동기] 우리은행 지원 동기와 입행을 위해 어떠한 준비를 해왔는지에 대하여 구체적인 사례를 바탕으로 작성해 주세요.,"""망망대해 속 나침반, 우리은행""ICT 기술의 발달과 함께 일어난 4차 산업혁명은 금융업에 큰 변화를 주고 있습니다. 전통적인 경쟁구도를 넘어 과거엔 상상도 할 수 없던 업태와 경쟁해야 하는, 한 치 앞을 예상할 수 없는 시대입니다. 이러한 상황에서 우리은행은 위비뱅크, 위비톡, 캐릭터 라이선싱 등 '최초'라는 이름으로 새로운 서비스를 선보이고 있습니다. 물론 모든 서비스가 성공하리란 보장은 없지만 타 시중은행과 달리 새로운 변화를 주도하는 모습에서 금융업이라는 망망대해 속 확실한 나침반은 우리은행이란 걸 확신하게 되었고, 저 역시 우리은행의 나침반이 되고자 합니다. ""진정성과 오뚝이 마인드""한 손해보험사 대인보상팀에서 인턴근무를 하며 금융업에 종사하는 사람들에게 있어 무엇보다 중요한 것은 '진정성'과 '오뚝이 마인드'라는걸 배울 수 있었습니다. 비호의적인 고객에게 서슴없이 다가가기 위해서 '내 역할은 고객에게 도움을 주는 것'임을 되새기고, 수많은 거절과 어려움 속에도 오뚝이처럼 다시 일어나는 태도를 키웠습니다. 끊임없는 학습과 업에대한 소명의식, 그리고 실패를 딛고 일어서는 오뚝이 마인드로 '고객의 꿈을 이뤄주는 은행원'이 되겠습니다.","우리은행은 위비뱅크, 위비톡, 캐릭터 라이선싱 등 '최초'라는 이름으로 새로운 서비스를 선보이고 있습니다. 타 시중은행과 달리 새로운 변화를 주도하는 모습에서 금융업이라는 망망대해 속 확실한 나침반은 우리은행이란 걸 확신하게 되었고, 저 역시 우리은행의 나침반이 되고자 합니다. 끊임없는 학습과 업에대한 소명의식, 그리고 실패를 딛고 일어서는 오뚝이 마인드로 '고객의 꿈을 이뤄주는 은행원'이 되겠습니다."
[6],지원동기 ,"`글로벌하게 놀자`해외영업은 세계를 무대로 살고 싶어하는 적성에 맞는 직무입니다. 해외 지역에 대한 시장조사와 분석을 통해 신규 거래처를 확보하거나 바이어로부터 계약을 체결해야 하는 일이기 때문입니다.새로운 거래선을 개척하여 성과와 이윤을 도출하는 도전적인 삶을, 누구보다 즐겁게 살아갈 자신이 있습니다.한국 음료업계의 선두 그룹인 롯데칠성음료는 성장이 둔화되고 있는 국내를 넘어, 해외로 사업을 확장하고 있습니다. 또한, 현재에 머무르지 않고 2018년 `ASIA TOP 10`과 `매출 7조 원 달성`의 비전을 향해 전진하고 있습니다. `세상은 좁고 할 일은 많다`라는 말처럼, 끊임없이 도전하는 롯데칠성음료의 비전과 전략이 제 가치관과 일치합니다.오늘날 건강음료에 대한 관심과 수요가 급증하고 있습니다. 65년 동안 쌓아온 유통 노하우와 다양한 제품군을 가진 롯데칠성음료가 해외에서 사업 역량을 떨치는 데에 제 지식과 열정을 쏟고 싶습니다.",해외 지역에 대한 시장조사와 분석을 통해 신규 거래처를 확보하거나 바이어로부터 계약을 체결해야 하는 해외영업은 세계를 무대로 살고 싶어하는 적성에 맞는 직무입니다. 새로운 거래선을 개척하여 성과와 이윤을 도출하는 도전적인 삶을 누구보다 즐겁게 살아갈 자신이 있습니다.
[6],귀하가 금호아시아나그룹(1지망지원회사)을 지원하게 된 동기에 대해 서술해 주십시오.,"[수리부속보급병의 타이어]군대 시절, 저의 주특기는 기동(차량 or 장갑차) 수리부속보급 이었습니다. 일과의 한 부분 중 다양한 크기의 타이어를 전방부대에 보급하는 것과 폐타이어를 회수하는 업무가 있었습니다. 소형차의 작은 타이어부터 공사현장에서 쓰이는 지름2M가 넘는 타이어까지 다양한 타이어를 운반하며 한 가지 의문점이 들었습니다.‘어쩌면 신품타이어보다 많은 폐품타이어는 어디에 사용되며 왜 다시 수거하여 상급부대에 보내는 것일까?’ 동시에 저는 타이어의 1~2%라도 내구성을 늘려 타이어의 수명을 늘리거나, 이를 친환경적으로 만들고 싶다는 생각을 했습니다.제대 후 기초 역학부터 시작해 공학인증(ABEEK)을 이수하면서 설계에 필요한 과목 및 프로그램을 공부하였습니다. 전공과목을 수강하면서 바퀴와 타이어가 받는 하중과 마찰에 따른 열에 대한 원리를 알 수 있었으며, 이러한 원리를 바탕으로 내구성을 가지고 친환경적인 타이어를 개발하고자 금호타이어에 지원하게 되었습니다.","제대 후 기초 역학부터 시작해 공학인증을 이수하면서 설계에 필요한 과목 및 프로그램을 공부하였습니다. 전공과목을 수강하면서 바퀴와 타이어가 받는 하중과 마찰에 따른 열에 대한 원리를 알 수 있었으며, 이러한 원리를 바탕으로 내구성을 가지고 친환경적인 타이어를 개발하고자 금호타이어에 지원하게 되었습니다."
[6],지원동기,<정의의 용사 = 장래희망>초등학교부터 중학교까지 저의 장래희망은 경찰관이었습니다. 그 당시 저는 경찰관이 하는 정확한 임무보다는 정의를 실현하고 억울한 사람들을 구해주는 정의의 용사 이미지를 동경하였기 때문에 선택하였습니다. 이런 저에게 사고조사 업무를 수행하는 손해사정사는 정의의 용사였습니다.뉴스에 보험 사기단과 같은 부당한 방법으로 보험금을 갈취하는 뉴스를 쉽게 접할 수 있습니다. 이러한 보험금 손실은 미래의 불확실성을 대비하는 선량한 보험계약자들에게 까다로워지는 절차와 낭비되는 보험금이라는 측면으로 손해를 끼친다고 생각하였습니다. 철저한 사고조사를 바탕으로 선량한 보험계약자를 가려내고 그들을 위한 서비스를 한다면 큰 보람을 느끼고 나아가 정의의 용사라는 생각으로 일할 수 있을 것이라 확신했습니다. 신뢰를 상징하는 동부 CSI의 정의의 용사 김회기가 될 것입니다.,초등학교부터 중학교까지 저의 장래희망은 경찰관이었습니다. 사고조사 업무를 수행하는 손해사정사는 정의의 용사였습니다. 철저한 사고조사를 바탕으로 선량한 보험계약자를 가려내고 그들을 위한 서비스를 한다면 큰 보람을 느끼고 정의의용사라는 생각으로 일할 수 있을 것이라 확신했습니다.
[6],롯데면세점 지원동기,"""롯데면세점과 함께 도전하는 인재""롯데면세점은 부동의 국내 1위 면세점이지만, 현실에 안주하지 않고 세계 제일의 면세점이 되기 위해 도전을 아끼지 않습니다. 저 역시도 현실에 만족하기보다는, 더 발전하고 영향력 있는 사람이 되고자 도전하는 사람입니다. 화장품 로드샵 매장에서 아르바이트를 할 당시 사장님은 매달 프로모션 상품을 선정하고 그 제품을 가장 많이 판매한 사람순으로 순위를 정하셨습니다. 저는 1등을 하고 싶다는 의욕에 손님 한분 한분을 놓치지 않고 프로모션 상품을 판매하기 위해 노력했습니다. 1등을 한 달도, 그렇지 않은 달도 있었지만 꾸준히 높은 판매고를 올린 덕에 사장님의 신임을 얻어 시급을 인상 받게 되었습니다.롯데면세점은 현재 해외 사업 다각화를 통해 2020년 세계 1위 면세점으로 도약하고자 합니다. 제가 가진 도전 의식을 바탕으로 롯데면세점의 발전에 이바지하고 싶습니다.","롯데면세점은 부동의 국내 1위 면세점이지만, 현실에 안주하지 않고 세계 제일의 면세점이 되기 위해 도전을 아끼지 않습니다. 저 역시도 현실에 만족하기보다는, 더 발전하고 영향력 있는 사람이 되고자 도전하는 사람입니다."
[6],지원동기 ,"본래 식음료에 대한 관심이 많았으며, 한일학생교류활동에 활발히 참여하고 일본을 여러 번 방문하면서 국내에 들여오면 좋겠다고 생각되는 식음료를 접하는가 하면 반대로 일본 학생들이 한국의 식음료를 일본에서도 구하고 싶다고 하는 케이스도 자주 경험하였습니다.독학으로 얻은 언어능력을 살려 일본과 한국을 잇는 일에 종사하고 싶다고 생각하고 있었기에 이 경험과 관심을 살려 일할 수 있는 곳을 찾고 있었던 점이 첫 번째 지원 동기이며, 사업적 관점에서도 편의점과 자판기라는 판매 루트가 많고 기후 특성상 음료의 수요가 큰 일본에 대한 음료 사업은 매우 유망하다 생각하여 지원하게 되었습니다.","본래 식음료에 관심이 많았으며 독학으로 얻은 언어능력을 살려 일본과 한국을 잇는 일에 종사하고 싶다고 생각하고 있었기에 이 경험과 관심을 살려 일할 수 있는 곳을 찾고 있었던 점이 첫 번째 지원 동기이며, 사업적 관점에서도 편의점과 자판기라는 판매 루트가 많고 기후 특성상 음료의 수요가 큰 일본에 대한 음료 사업은 매우 유망하다 생각하여 지원하게 되었습니다."
[6],지원동기,"대학 생활은 저에게 적합한 분야를 찾아가기 위한 시간이었습니다. 산업 중 프린트 업계의 미래 지향성을 보았고, 특히 신도리코는 본사 채용설명회의 홍보 활동과 3D 프린트, SW솔루션 개발 등 업계에서 가장 도전적인 행보였습니다. 저는 업계에 필요한 3가지 역량을 키우기 위해 노력했습니다.첫째, 리더십입니다. 대내외활동의 기수나 조장에 자원하여 활동하면서 팀원을 이끌어가며 설득하는 법을 배웠습니다.둘째, 체력입니다. 군복무 당시 4조 2교대 근무와 1달 배낭여행 경험으로 지치지 않는 꾸준한 체력을 유지했습니다.셋째, 분석력입니다. 빅데이터 과목 수강 당시, 한 의류 기업의 신제품 출시를 통한 한국 시장 브랜드 점유율을 높이는 방안을 데이터 분석 결과로 제시해 보았습니다. 이를 통해 데이터를 보고 분석하는 능력을 길렀습니다.이러한 역량을 토대로 mr 직무에 열정을 쏟는 신도리코인이 되겠습니다.","대학 생활 중 프린트 업계의 미래 지향성을 보았고, 특히 신도리코는 본사 채용설명회의 홍보 활동과 3D 프린트, SW솔루션 개발 등 업계에서 가장 도전적인 행보였습니다. 저는 업계에 필요한 3가지 역량을 키우기 위해 노력했습니다. 첫째, 리더십입니다. 둘째, 체력입니다. 셋째, 분석력입니다."
[6],데상트코리아에 지원한 이유는 무엇입니까?,"[내일도 가고 싶은 곳, 데상트코리아]제가 회사를 선택할 때의 기준은 `내일도 가고 싶은 곳`입니다. 이 말에는 두 가지 의미가 있는데, 첫째는 `저를 발전하게 하는 곳`입니다. 회사는 앞으로 제가 가장 많은 시간을 보내게 될 장소이기 때문에 이 안에서 스스로 존재 가치를 찾아야 한다고 생각합니다. 데상트코리아의 혁신적인 근무환경과 스피디한 업무는 제가 일터에서 존재 가치를 찾고 발전할 이유입니다.둘째는 `제가 발전시킬 수 있는 곳`입니다. KT&G 마케팅 공모전을 준비하면서 상권, 매장별 판매동향을 분석하고 이를 바탕으로 프로모션을 수립하는 경험을 했습니다. 비록 수상은 못 했지만, 매장분석과 판매전략에 대한 열정이 생겼습니다. 이를 바탕으로 데상트코리아에서 두각을 드러내는 영업MD가 되고자 합니다.",제가 회사를 선택할 때의 기준은 '내일도 가고 싶은 곳'입니다. 데상트코리아의 혁신적인 근무환경과 스피디한 업무는 제가 일터에서 존재 가치를 찾고 발전할 이유입니다.
[6],지원동기,"적성과 능력, 경력, 성격에 맞는 역할이고 글로벌 시대에 있어서의 발전 가능한 회사와 직종이라 생각을 합니다. 역동적인 회사의 흐름과 침착하고 효율적인 업무 효과로 오피스 어드민으로서 자신이 있습니다. 회사에서 열심히 할 수 있습니다.","적성과 능력, 경력, 성격에 맞는 역할이고 글로벌 시대에 있어서의 발전 가능한 회사와 직종이라 생각합니다. 역동적인 회사의 흐름과 침착하고 효율적인 업무 효과로 오피스 어드민으로서 자신이 있습니다."
[6],생명보험이란 무엇이라고 생각하는지와 교보생명에 지원한 동기에 대하여 작성하여 주십시오.,"생명보험은 가장 소중한 것을 불행으로부터 지키는 것이라고 생각합니다. 사람은 살아가면서 무수히 많은 위험에 노출되어 있습니다. 이러한 위험이 사람의 생사와 연관되는 경우, 나 뿐만 아니라 가족 구성원은 경제적 어려움에 빠질 수 있습니다. 행복을 소중한 사람들과 일상을 나눌 수 있는 것이라고 한다면, 위험은 불행을 가져다주는 가장 큰 요인이라고 할 수 있습니다. 위험은 질병, 상해 등 어떻게 닥쳐올지 예측 불가능하며 우리의 일상을 크게 망가뜨릴 수 있기 때문입니다.생명보험은 이러한 위험으로부터 나와 나의 가족에게 안정적인 일상을 가져다줄 수 있습니다. 개인은 보험에 가입함으로서 예측 불가능한 위험이 대비하고 안정적인 노후 생활을 영위할 수 있습니다. 따라서 생명보험의 역할은 개인의 리스크를 관리하는 것을 넘어서, 행복한 삶을 가져다 줄 수 있는 동반자가 되는 것이라고 생각합니다.제가 회사를 지원하는 데 있어 중요하게 생각하는 것은 본인의 성장을 실현할 수 있는가 입니다. 고객의 신뢰에 보답하고자 보험업계 뿐만 아니라 기업 문화의 혁신을 꾀하고 있는 교보생명의 가치는 저의 가치와 일치합니다. 생명보험의 의의에 충실한 원칙 경영을 통해 국내 생보사 최초로 신용등급 A1 등급을 받아 리스크 관리 역량을 국제적으로 인정 받았고, 국내 평가사로부터 AAA 등급을 받아 지급 능력 평가에서도 우수한 성적을 보였습니다. 이에 그치지 않고, 전 계열사 빅데이터 수집 플랫폼 구축, 업계 최초로 마이데이터 사업 본허가를 획득하는 등 디지털 전환을 가속화 하고 있습니다. 또한, 지속 가능한 성장을 위한 ESG 경영, 미래의 성장 동력이 될 MZ세대를 대상으로 하여 유튜브 등의 콘텐츠를 활용한 마케팅을 꾸준하게 수행하고 있습니다. 더 나은 기업으로 도약하기 위한 도전을 바탕으로 한 교보생명의 지속적인 성장은 본인의 성장을 이끌어 낼 수 있는 원동력이 될 것입니다.","생명보험은 가장 소중한 것을 불행으로부터 지키는 것이라고 생각합니다. 위험은 질병, 상해 등 어떻게 닥쳐올지 예측 불가능하며 우리의 일상을 크게 망가뜨릴 수 있기 때문입니다. 개인은 보험에 가입함으로서 예측 불가능한 위험이 대비하고 안정적인 노후 생활을 영위할 수 있습니다."
