answer_log_id,timestamp,answer_id,rectype_id,user_id
558,"2023-01-26 11:14:25.754993",a013710,7000001,10
559,"2023-01-26 11:21:06.933195",a013859,7000002,11
560,"2023-01-26 11:21:11.415092",a011278,7000001,11
561,"2023-01-26 11:21:17.113055",a006377,7000001,11
562,"2023-01-26 11:21:34.489121",a009534,7000005,11
563,"2023-01-26 11:21:38.515979",a016241,7000006,11
564,"2023-01-26 11:21:44.418216",a002606,7000002,11
565,"2023-01-26 11:25:15.425411",a003509,7000006,14
566,"2023-01-26 11:27:23.467721",a003729,7000001,13
567,"2023-01-26 11:27:24.423126",a013573,7000002,11
568,"2023-01-26 11:30:46.368641",a002800,7000004,14
569,"2023-01-26 11:31:01.036103",a002800,7000004,14
570,"2023-01-26 11:31:06.194833",a011466,7000002,14
571,"2023-01-26 11:31:12.310205",a009328,7000002,14
572,"2023-01-26 11:31:29.657627",a015606,7000001,14
573,"2023-01-26 11:31:45.003071",a014508,7000001,14
574,"2023-01-26 11:31:48.871020",a006020,7000001,14
575,"2023-01-26 11:31:53.803871",a006479,7000001,14
576,"2023-01-26 11:32:05.482890",a008384,7000001,14
577,"2023-01-26 11:32:11.574752",a001369,7000004,14
578,"2023-01-26 11:32:35.376856",a005564,7000001,14
579,"2023-01-26 11:32:57.953714",a006479,7000003,14
580,"2023-01-26 11:33:06.330443",a006479,7000003,14
581,"2023-01-26 11:33:33.029237",a001369,7000004,14
582,"2023-01-26 11:33:53.186073",a006020,7000001,14
583,"2023-01-26 11:34:49.067151",a009534,7000004,15
584,"2023-01-26 11:38:39.059211",a012443,7000002,14
585,"2023-01-26 11:38:48.422005",a013132,7000001,16
586,"2023-01-26 11:39:23.906497",a008880,7000002,17
587,"2023-01-26 11:39:54.707498",a005320,7000001,19
588,"2023-01-26 11:40:40.671201",a007533,7000002,20
589,"2023-01-26 11:40:47.430478",a016770,7000003,20
590,"2023-01-26 11:42:52.065962",a015897,7000001,14
591,"2023-01-26 11:44:34.323181",a014967,7000001,6
592,"2023-01-26 11:44:36.951241",a014967,7000002,6
593,"2023-01-26 11:46:43.329383",a016417,7000001,21
594,"2023-01-26 11:46:56.501808",a014701,7000002,21
595,"2023-01-26 11:47:09.587799",a014660,7000001,21
596,"2023-01-26 11:47:11.941038",a002973,7000005,18
597,"2023-01-26 11:47:22.334243",a009034,7000001,21
598,"2023-01-26 11:53:58.593645",a000609,7000006,16
599,"2023-01-26 11:55:14.174508",a006098,7000002,14
600,"2023-01-26 11:55:21.606649",a009007,7000001,14
601,"2023-01-26 11:55:56.546152",a001368,7000003,14
602,"2023-01-26 11:56:42.572544",a011280,7000002,14
603,"2023-01-26 11:57:44.268120",a009929,7000005,16
604,"2023-01-26 11:57:47.140747",a009345,7000004,16
605,"2023-01-26 11:57:50.153285",a007558,7000003,16
606,"2023-01-26 11:57:55.163293",a000019,7000002,16
607,"2023-01-26 12:00:46.965202",a013697,7000001,6
608,"2023-01-26 12:00:53.879024",a004769,7000001,6
609,"2023-01-26 12:00:56.908154",a004769,7000001,6
610,"2023-01-26 12:00:59.534485",a006759,7000001,6
611,"2023-01-26 12:03:25.617684",a004825,7000001,23
612,"2023-01-26 12:07:05.782328",a009534,7000004,24
613,"2023-01-26 12:07:42.566359",a012816,7000001,24
614,"2023-01-26 12:08:28.173268",a010339,7000003,24
615,"2023-01-26 12:08:54.043530",a016245,7000006,24
616,"2023-01-26 12:09:00.853036",a007744,7000005,24
617,"2023-01-26 12:14:17.660284",a009535,7000004,24
618,"2023-01-26 12:14:46.088116",a007639,7000001,24
619,"2023-01-26 12:15:50.727979",a007639,7000001,24
620,"2023-01-26 12:15:52.921466",a016542,7000001,24
621,"2023-01-26 12:17:02.836095",a016692,7000001,24
622,"2023-01-26 12:21:40.993666",a012868,7000002,6
623,"2023-01-26 12:21:51.750491",a012618,7000001,6
624,"2023-01-26 12:22:03.753722",a001284,7000001,7
625,"2023-01-26 12:22:17.825450",a012618,7000001,6
626,"2023-01-26 12:25:31.773993",a013573,7000001,6
627,"2023-01-26 12:31:10.033925",a011580,7000001,25
628,"2023-01-26 12:31:48.558316",a002446,7000001,25
629,"2023-01-26 12:33:19.519950",a000612,7000006,25
630,"2023-01-26 12:36:35.920906",a016704,7000001,6
631,"2023-01-26 12:50:56.129313",a001172,7000002,6
632,"2023-01-26 12:51:02.204664",a004946,7000001,6
633,"2023-01-26 12:51:04.512363",a007427,7000001,6
634,"2023-01-26 12:51:28.765833",a004946,7000001,6
635,"2023-01-26 12:51:31.525684",a004159,7000001,6
636,"2023-01-26 12:51:48.227003",a001172,7000002,6
637,"2023-01-26 12:51:59.203287",a001171,7000002,6
638,"2023-01-26 12:58:33.673924",a010300,7000002,26
639,"2023-01-26 12:58:58.683683",a000707,7000001,26
640,"2023-01-26 12:59:01.506238",a010473,7000001,26
641,"2023-01-26 12:59:03.827737",a002105,7000001,26
642,"2023-01-26 13:00:44.403221",a016691,7000001,26
643,"2023-01-26 13:01:04.564042",a009534,7000004,26
644,"2023-01-26 13:01:31.652693",a000609,7000006,26
645,"2023-01-26 13:01:55.056440",a016241,7000006,26
646,"2023-01-26 13:01:58.214120",a000609,7000006,26
647,"2023-01-26 13:02:05.726371",a000609,7000006,26
648,"2023-01-26 13:02:08.016873",a016241,7000006,26
649,"2023-01-26 13:02:09.407777",a009534,7000005,26
650,"2023-01-26 13:02:10.553366",a001378,7000005,26
651,"2023-01-26 13:02:11.976252",a000609,7000006,26
652,"2023-01-26 13:02:13.559704",a007793,7000004,26
653,"2023-01-26 13:02:14.748899",a012612,7000004,26
654,"2023-01-26 13:02:15.744856",a002799,7000004,26
655,"2023-01-26 13:02:17.401070",a009534,7000004,26
656,"2023-01-26 13:02:49.611474",a012089,7000001,26
657,"2023-01-26 13:02:54.078295",a000609,7000006,26
658,"2023-01-26 13:02:55.523979",a016241,7000006,26
659,"2023-01-26 13:03:02.280069",a015734,7000006,26
660,"2023-01-26 13:03:03.756269",a008521,7000006,26
661,"2023-01-26 13:03:04.828163",a002973,7000005,26
662,"2023-01-26 13:03:06.067882",a009686,7000005,26
663,"2023-01-26 13:03:38.895822",a015734,7000006,26
664,"2023-01-26 13:03:42.092267",a008521,7000006,26
665,"2023-01-26 13:03:47.996872",a000609,7000006,26
666,"2023-01-26 13:03:56.030684",a000609,7000006,26
667,"2023-01-26 13:04:06.049214",a007590,7000003,27
668,"2023-01-26 13:04:30.887769",a000609,7000006,26
669,"2023-01-26 13:04:37.339149",a009534,7000005,26
670,"2023-01-26 13:04:38.679097",a001378,7000005,26
671,"2023-01-26 13:04:41.711603",a000609,7000006,26
672,"2023-01-26 13:06:33.090317",a014736,7000001,8
673,"2023-01-26 13:07:06.050112",a010688,7000002,28
