answer_id,user_good_cnt,user_bad_cnt,pro_good_cnt,pro_bad_cnt,view,user_view,document_id,user_impression_cnt
a000000,0,0,0,0,3281,0,d000000,1
a000001,0,0,0,0,3281,0,d000000,0
a000002,0,0,0,0,3281,0,d000000,0
a000003,0,0,0,0,2691,0,d000001,0
a000004,0,0,0,0,2691,0,d000001,0
a000005,0,0,0,0,2691,0,d000001,0
a000006,0,0,0,0,2691,0,d000001,0
a000007,0,0,0,0,2691,0,d000001,0
a000008,0,0,0,0,8673,0,d000002,0
a000009,0,0,0,0,8673,0,d000002,0
a000010,0,0,0,0,8673,0,d000002,0
a000011,0,0,0,0,7626,0,d000003,0
a000012,0,0,0,0,7626,0,d000003,0
a000013,0,0,0,0,7626,0,d000003,0
a000014,0,0,0,0,7626,0,d000003,1
a000015,0,0,1,1,8086,0,d000004,0
a000016,0,0,1,1,8086,0,d000004,0
a000017,0,0,1,1,8086,0,d000004,0
a000018,0,0,1,1,8086,0,d000004,0
a000019,0,0,0,0,12169,0,d000005,0
a000020,0,0,0,0,12169,0,d000005,0
a000021,0,0,0,0,12169,0,d000005,0
a000022,0,0,0,0,12169,0,d000005,0
a000023,0,0,0,0,4180,0,d000006,0
a000024,0,0,0,0,4180,0,d000006,0
a000025,0,0,0,0,4180,0,d000006,0
a000026,0,0,0,0,18342,0,d000007,0
a000027,0,0,0,0,18342,0,d000007,0
a000028,0,0,0,0,18342,0,d000007,0
a000029,0,0,0,0,5405,0,d000008,0
a000030,0,0,0,0,5405,0,d000008,0
a000031,0,0,0,0,5405,0,d000008,0
a000032,0,0,0,0,5405,0,d000008,0
a000033,0,0,0,0,5405,0,d000008,0
a000034,0,0,0,1,10435,0,d000009,0
a000035,0,0,0,1,10435,0,d000009,0
a000036,0,0,0,1,10435,0,d000009,0
a000037,0,0,0,0,6766,0,d000010,0
a000038,0,0,0,0,6766,0,d000010,0
a000039,0,0,0,0,6766,0,d000010,0
a000040,0,0,0,0,6766,0,d000010,0
a000041,0,0,0,0,6766,0,d000010,0
a000042,0,0,0,0,21892,0,d000011,0
a000043,0,0,0,0,21892,0,d000011,0
a000044,0,0,0,0,21892,0,d000011,0
a000045,0,0,0,0,21892,0,d000011,0
a000046,0,0,0,0,21892,0,d000011,0
a000047,0,0,0,0,2112,0,d000012,0
a000048,0,0,0,0,2112,0,d000012,0
a000049,0,0,0,0,2112,0,d000012,0
a000050,0,0,0,0,2112,0,d000012,0
a000051,0,0,0,0,2112,0,d000012,0
a000052,0,0,0,0,2860,0,d000013,0
a000053,0,0,0,0,2860,0,d000013,0
a000054,0,0,0,0,1904,0,d000014,0
a000055,0,0,0,0,1904,0,d000014,0
a000056,0,0,0,0,1904,0,d000014,0
a000057,0,0,0,0,1904,0,d000014,0
a000058,0,0,0,0,1904,0,d000014,0
a000059,0,0,0,2,17396,0,d000015,0
a000060,0,0,0,2,17396,0,d000015,0
a000061,0,0,0,2,17396,0,d000015,0
a000062,0,0,0,2,17396,0,d000015,0
a000063,0,0,1,1,27360,0,d000016,0
a000064,0,0,1,1,27360,0,d000016,0
a000065,0,0,1,1,27360,0,d000016,0
a000066,0,0,1,1,27360,0,d000016,0
a000067,0,0,0,2,12645,0,d000017,0
a000068,0,0,0,2,12645,0,d000017,0
a000069,0,0,0,2,12645,0,d000017,0
a000070,0,0,0,2,12645,0,d000017,0
a000071,0,0,0,3,31482,0,d000018,0
a000072,0,0,0,3,31482,0,d000018,0
a000073,0,0,0,3,9556,0,d000019,0
a000074,0,0,0,3,9556,0,d000019,0
a000075,0,0,0,3,9556,0,d000019,0
a000076,0,0,0,3,9556,0,d000019,1
a000077,0,0,0,0,7723,0,d000020,0
a000078,0,0,0,0,7723,0,d000020,0
a000079,0,0,0,0,7723,0,d000020,0
a000080,0,0,0,0,7723,0,d000020,0
a000081,0,0,0,0,10288,0,d000021,0
a000082,0,0,0,0,10288,0,d000021,0
a000083,0,0,0,0,10288,0,d000021,0
a000084,0,0,0,0,10288,0,d000021,0
a000085,0,0,0,0,10288,0,d000021,0
a000086,0,0,1,1,108857,2,d000022,36
a000087,0,0,1,1,108857,0,d000022,0
a000088,0,0,1,1,108857,0,d000022,0
a000089,0,0,0,0,7697,0,d000023,0
a000090,0,0,0,0,7697,0,d000023,0
a000091,0,0,0,0,7697,0,d000023,0
a000092,0,0,1,1,19185,0,d000024,0
a000093,0,0,1,1,19185,0,d000024,0
a000094,0,0,1,1,19185,0,d000024,0
a000095,0,0,1,1,19185,0,d000024,0
a000096,0,0,1,1,19185,0,d000024,0
a000097,0,0,0,0,2250,0,d000025,0
a000098,0,0,0,0,2250,0,d000025,0
a000099,0,0,1,1,22101,0,d000026,0
a000100,0,0,1,1,22101,0,d000026,0
a000101,0,0,1,1,22101,0,d000026,0
a000102,0,0,2,1,9935,0,d000027,0
a000103,0,0,2,1,9935,0,d000027,0
a000104,0,0,2,1,9935,0,d000027,0
a000105,0,0,2,1,9935,0,d000027,0
a000106,0,0,2,1,9935,0,d000027,0
a000107,0,0,2,1,9935,0,d000027,0
a000108,0,0,1,1,14553,0,d000028,0
a000109,0,0,1,1,14553,0,d000028,0
a000110,0,0,1,1,14553,0,d000028,0
a000111,0,0,1,1,14553,0,d000028,0
