company_id,company,logo_url
2000001,LG디스플레이,
2000002,롯데IT테크,
2000003,홈플러스,
2000004,노루페인트,
2000005,KB데이타시스템,
2000006,신한투자증권,
2000007,현대글로비스,
2000008,삼성전자,
2000009,금호타이어,
2000010,LG화학,
2000011,이랜드건설,
2000012,에스엘,
2000013,GS리테일,
2000014,CJ제일제당,
2000015,한국주택금융공사,
2000016,동아쏘시오홀딩스,
2000017,KT,
2000018,GS칼텍스,
2000019,경동나비엔,
2000020,신한DS,
2000021,신한카드,
2000022,라인플러스,
2000023,삼성생명보험,
2000024,하나카드,
2000025,현대모비스,
2000026,한국인삼공사,
2000027,신한은행,
2000028,한진,
2000029,LX하우시스,
2000030,LG생활건강,
2000031,한국콜마홀딩스,
2000032,한국가스기술공사,
2000033,현대엔지니어링,
2000034,아시아나항공,
2000035,한국동서발전,
2000036,현대오일뱅크,
2000037,대우건설,
2000038,LG이노텍,
2000039,신원,
2000040,한화S&C,
2000041,국민은행,
2000042,신세계인터내셔날,
2000043,SK,
2000044,두산건설,
2000045,스마일게이트엔터테인먼트,
2000046,에이치케이이노엔,
2000047,셀트리온,
2000048,서브원,
2000049,스노우,
2000050,엔에이치엔,
2000051,현대트랜시스,
2000052,한샘,
2000053,대한항공,
2000054,현대오토에버,
2000055,한국스탠다드차타드은행,
2000056,에치와이,
2000057,SK하이닉스,
2000058,한화생명보험,
2000059,서울우유협동조합,
2000060,케이티알파,
2000061,OCI,
2000062,LG전자,
2000063,삼성화재해상보험,
2000064,SK브로드밴드,
2000065,지에스건설,
2000066,한국가스공사,
2000067,호반건설,
2000068,에프알엘코리아,
2000069,효성,
2000070,웅진씽크빅,
2000071,현대자동차,
2000072,케이비증권,
2000073,아모레퍼시픽,
2000074,롯데건설,
2000075,쿠팡,
2000076,호텔신라,
2000077,중소기업은행,
2000078,현대엘리베이터,
2000079,금호피앤비화학,
2000080,농업회사법인농우바이오,
2000081,우미건설,
2000082,부산교통공사,
2000083,삼성물산,
2000084,현대제철주식회사,
2000085,롯데정밀화학,
2000086,케이티디에스,
2000087,씨제이올리브네트웍스,
2000088,스타쉽엔터테인먼트,
2000089,삼성중공업,
2000090,한국전력공사,
2000091,두산,
2000092,LF,
2000093,동원F&B,
2000094,금강,
2000095,엘에스전선,
