document_id,document_url,spec,pro_rating,company_id,job_small_id,major_small_id,school_id
d000000,https://www.jobkorea.co.kr/starter/PassAssay/View/147144,"['학점 3.8/4.5', '토익 895', '토스 Level6', '오픽 M1', '인턴 1회']",-1,2000001,6000001,4000001,8000001
d000001,https://www.jobkorea.co.kr/starter/PassAssay/View/144625,"['학점 3.5/4.5', '토익 780', '토스 Level4']",-1,2000002,6000002,4000002,8000001
d000002,https://www.jobkorea.co.kr/starter/PassAssay/View/239999,"['학점 4.5/4.5', '제2외국어 3개', '자격증 4개', '해외경험 1회', '인턴 1회']",-1,2000003,6000003,4000003,8000002
d000003,https://www.jobkorea.co.kr/starter/PassAssay/View/143892,"['학점 3.7/4.5', '토익 825', '자격증 1개', '인턴 1회', '수상 1회', '자원봉사 1회']",-1,2000004,6000004,4000004,8000003
d000004,https://www.jobkorea.co.kr/starter/PassAssay/View/145223,"['학점 3.6/4.5', '토익 805', '토스 Level5', '자격증 1개']",3,2000005,6000005,4000002,8000004
d000005,https://www.jobkorea.co.kr/starter/PassAssay/View/146037,"['학점 3.7/4.5', '토익 850', '토스 Level6', '자격증 1개', '인턴 1회']",-1,2000006,6000006,4000002,8000004
d000006,https://www.jobkorea.co.kr/starter/PassAssay/View/239470,"['학점 3.5/4.5', '토스 Level6', '자격증 14개', '해외경험 1회', '수상 11회', '교내활동 2회', '사회활동 5회', '자원봉사 1회']",-1,2000007,6000007,4000004,8000004
d000007,https://www.jobkorea.co.kr/starter/PassAssay/View/237723,"['학점 3.5/4.5', '토익 910', '인턴 1회', '수상 2회']",-1,2000008,6000005,4000003,8000004
d000008,https://www.jobkorea.co.kr/starter/PassAssay/View/143733,"['학점 3.4/4.5', '토익 885', '자격증 1개', '인턴 1회', '자원봉사 1회']",-1,2000009,6000008,4000005,8000001
d000009,https://www.jobkorea.co.kr/starter/PassAssay/View/197761,"['학점 4.22/4.5', '토익 950', '오픽 IH', '제2외국어 3개', '자격증 2개', '해외경험 2회', '수상 1회', '동아리 1회', '교내활동 1회', '자원봉사 1회']",2,2000010,6000009,4000006,8000004
d000010,https://www.jobkorea.co.kr/starter/PassAssay/View/146440,"['자격증 2개', '수상 2회']",-1,2000011,6000010,4000007,8000005
d000011,https://www.jobkorea.co.kr/starter/PassAssay/View/145030,"['학점 4.1/4.5', '토익 815', '토스 Level5', '자격증 1개', '수상 3회']",-1,2000012,6000011,4000008,8000003
d000012,https://www.jobkorea.co.kr/starter/PassAssay/View/145836,"['학점 3.8/4.5', '토익 730', '자격증 3개', '인턴 1회', '수상 1회', '자원봉사 1회']",-1,2000013,6000012,4000004,8000003
d000013,https://www.jobkorea.co.kr/starter/PassAssay/View/145314,"['학점 3.7/4.5', '토익 845', '토스 Level6', '자격증 1개']",-1,2000014,6000009,4000009,8000003
d000014,https://www.jobkorea.co.kr/starter/PassAssay/View/145359,"['학점 3.8/4.5', '토익 845', '오픽 IM2', '자격증 2개', '수상 2회']",-1,2000013,6000009,4000004,8000001
d000015,https://www.jobkorea.co.kr/starter/PassAssay/View/195467,"['학점 3.3/4.5', '토익 815']",2,2000015,6000013,4000006,8000004
d000016,https://www.jobkorea.co.kr/starter/PassAssay/View/200063,"['학점 3.38/4.5', '토익 910', '오픽 IH', '자격증 2개', '동아리 1회', '교내활동 1회']",2,2000016,6000014,4000010,8000004
